fighter1,fighter2,odds1,odds2,winner,score,time,date,class
Burgos S.,Amirkhani M.,1.42,2.87,Burgos S.,TKO,00:30,03 Nov 2019,featherweight-ufc-men
Barzola E.,Evloev M.,2.59,1.51,Evloev M.,PTS,11:00,26 Oct 2019,featherweight-ufc-men
Rodriguez Y.,Stephens J.,1.77,2.07,Rodriguez Y.,PTS,03:30,19 Oct 2019,featherweight-ufc-men
Magomedsharipov Z.,Kattar C.,,,canc.,canc.,01:00,19 Oct 2019,featherweight-ufc-men
Swanson C.,Gracie K.,2.62,1.51,Swanson C.,PTS,02:30,13 Oct 2019,featherweight-ufc-men
Davis B.,Chikadze G.,1.63,2.31,Chikadze G.,PTS,16:00,28 Sep 2019,featherweight-ufc-men
Rodriguez Y.,Stephens J.,1.77,2.05,Draw,Draw,02:00,22 Sep 2019,featherweight-ufc-men
Reyes M. P.,Nelson K.,1.93,1.87,Nelson K.,TKO,23:00,21 Sep 2019,featherweight-ufc-men
Skelly C.,Griffin J.,2.29,1.64,Skelly C.,PTS,21:30,14 Sep 2019,featherweight-ufc-men
Tukhugov Z.,Murphy L.,1.31,3.51,Draw,Draw,17:00,07 Sep 2019,featherweight-ufc-men
Lu Zhenhong,Evloev M.,,,canc.,canc.,10:30,31 Aug 2019,featherweight-ufc-men
Benitez G.,Yusuff S.,3.22,1.36,Yusuff S.,TKO,02:30,18 Aug 2019,featherweight-ufc-men
Garagorri L. E.,Bandenay H.,1.72,2.17,Garagorri L. E.,PTS,01:30,11 Aug 2019,featherweight-ufc-men
Holloway M.,Edgar F.,1.28,3.84,Holloway M.,PTS,04:00,28 Jul 2019,featherweight-ufc-men
Dawodu H.,Horie Y.,1.25,4.05,Dawodu H.,TKO,01:00,28 Jul 2019,featherweight-ufc-men
Caceres A.,Peterson S.,1.87,1.96,Caceres A.,PTS,00:30,21 Jul 2019,featherweight-ufc-men
Emmett J.,Bektic M.,2.33,1.61,Emmett J.,TKO,01:00,14 Jul 2019,featherweight-ufc-men
Fili A.,Moraes S.,1.69,2.18,Fili A.,KO,23:00,13 Jul 2019,featherweight-ufc-men
Melendez G.,Allen A.,3.7,1.29,Allen A.,PTS,01:30,07 Jul 2019,featherweight-ufc-men
Griffin J.,Murdock V.,1.25,4.0,canc.,canc.,22:15,29 Jun 2019,featherweight-ufc-men
Carneiro R.,Jung C. S.,1.48,2.69,Jung C. S.,TKO,01:00,23 Jun 2019,featherweight-ufc-men
Ige D.,Aguilar K.,2.17,1.69,Ige D.,PTS,22:30,22 Jun 2019,featherweight-ufc-men
Lamas R.,Kattar C.,2.36,1.61,Kattar C.,TKO,00:00,09 Jun 2019,featherweight-ufc-men
Amirkhani M.,Fishgold C.,1.82,2.0,Amirkhani M.,SUBM,18:00,01 Jun 2019,featherweight-ufc-men
Trizano M.,Dawson G.,2.4,1.6,Dawson G.,SUBM,23:00,18 May 2019,featherweight-ufc-men
Aldo J.,Volkanovski A.,1.68,2.23,Volkanovski A.,PTS,03:00,12 May 2019,featherweight-ufc-men
Swanson C.,Burgos S.,2.37,1.59,Burgos S.,PTS,01:30,05 May 2019,featherweight-ufc-men
Nelson K.,Sayles M.,2.67,1.48,Sayles M.,SUBM,22:00,04 May 2019,featherweight-ufc-men
Sanchez J.,Herrera G.,1.89,1.91,Herrera G.,TKO,22:00,11 Dec 2015,flyweight-ufc-men
Yao Z.,Serrano F.,2.39,1.57,Serrano F.,TKO,10:00,28 Nov 2015,flyweight-ufc-men
Formiga J.,Cejudo H.,4.84,1.18,Cejudo H.,PTS,03:00,22 Nov 2015,flyweight-ufc-men
Vaculik R.,Martinez D.,1.86,1.93,Martinez D.,PTS,01:00,15 Nov 2015,flyweight-ufc-men
Nguyen B.,Benoit R.,1.71,2.11,Nguyen B.,SUBM,23:15,14 Nov 2015,flyweight-ufc-men
Holohan P.,Smolka L.,2.03,1.75,Smolka L.,SUBM,20:00,24 Oct 2015,flyweight-ufc-men
Benavidez J.,Bagautinov A.,1.3,3.38,Benavidez J.,PTS,23:00,03 Oct 2015,flyweight-ufc-men
Horiguchi K.,Camus C.,1.24,4.05,Horiguchi K.,PTS,02:00,27 Sep 2015,flyweight-ufc-men
Johnson D.,Dodson J.,1.16,5.05,Johnson D.,PTS,02:00,06 Sep 2015,flyweight-ufc-men
Kelades C.,Beal C.,2.33,1.59,Kelades C.,PTS,23:00,23 Aug 2015,flyweight-ufc-men
Borg R.,Herrera G.,1.22,4.48,Borg R.,PTS,02:00,09 Aug 2015,flyweight-ufc-men
Smolka L.,Borg R.,2.04,1.76,Borg R.,PTS,03:00,31 Dec 2016,flyweight-ufc-men
Sandoval H.,Serrano F.,1.8,2.01,Sandoval H.,PTS,21:30,17 Dec 2016,flyweight-ufc-men
Makovsky Z.,Ortiz D.,1.64,2.27,Ortiz D.,PTS,23:30,10 Dec 2016,flyweight-ufc-men
Benavidez J.,Cejudo H.,1.5,2.62,Benavidez J.,PTS,03:00,04 Dec 2016,flyweight-ufc-men
Moreno B.,Benoit R.,1.58,2.45,Moreno B.,PTS,03:00,04 Dec 2016,flyweight-ufc-men
Nguyen B.,Herrera G.,1.78,2.05,Nguyen B.,PTS,01:00,27 Nov 2016,flyweight-ufc-men
Yao Z.,Lausa J.,2.12,1.73,Lausa J.,PTS,23:30,26 Nov 2016,flyweight-ufc-men
Horiguchi K.,Bagautinov A.,1.5,2.58,Horiguchi K.,PTS,17:15,19 Nov 2016,flyweight-ufc-men
Smolka L.,Moreno B.,1.19,4.79,Moreno B.,SUBM,03:00,02 Oct 2016,flyweight-ufc-men
Formiga J.,Ortiz D.,1.49,2.66,Formiga J.,PTS,00:00,25 Sep 2016,flyweight-ufc-men
McCall I.,Borg R.,,,canc.,canc.,00:00,11 Sep 2016,flyweight-ufc-men
Benoit R.,Serrano F.,1.94,1.88,Benoit R.,PTS,02:00,31 Jul 2016,flyweight-ufc-men
Reis W.,Sandoval H.,1.28,3.71,Reis W.,SUBM,00:00,31 Jul 2016,flyweight-ufc-men
Nguyen B.,Smolka L.,1.77,2.05,Smolka L.,TKO,01:00,14 Jul 2016,flyweight-ufc-men
Moraga J.,Nicolau M.,,,PTS,PTS,02:00,09 Jul 2016,flyweight-ufc-men
Bagautinov A.,Herrera G.,1.32,3.41,Bagautinov A.,PTS,22:45,18 Jun 2016,flyweight-ufc-men
Horiguchi K.,Seery N.,1.17,5.06,Horiguchi K.,PTS,14:30,08 May 2016,flyweight-ufc-men
Johnson D.,Cejudo H.,1.25,3.96,Johnson D.,TKO,02:00,24 Apr 2016,flyweight-ufc-men
Rivera F.,Pickett B.,1.59,2.34,Pickett B.,PTS,21:00,27 Feb 2016,flyweight-ufc-men
Benavidez J.,Makovsky Z.,1.25,4.21,Benavidez J.,PTS,04:00,07 Feb 2016,flyweight-ufc-men
Borg R.,Scoggins J.,1.42,2.87,Scoggins J.,PTS,23:00,06 Feb 2016,flyweight-ufc-men
Ortiz D.,Reis W.,1.42,2.86,Reis W.,PTS,22:00,30 Jan 2016,flyweight-ufc-men
Smolka L.,Nicolau M.,2.88,1.42,Nicolau M.,PTS,01:00,31 Dec 2017,flyweight-ufc-men
Elliott T.,Menga P.,1.37,3.02,canc.,canc.,22:00,16 Dec 2017,flyweight-ufc-men
Cejudo H.,Pettis S.,1.33,3.24,Cejudo H.,PTS,03:00,03 Dec 2017,flyweight-ufc-men
Benoit R.,Mokhtarian A.,1.33,3.24,Benoit R.,KO,01:00,19 Nov 2017,flyweight-ufc-men
Lausa J.,Shelton E.,3.88,1.26,Shelton E.,PTS,23:30,18 Nov 2017,flyweight-ufc-men
Figueiredo D.,Brooks J.,2.34,1.59,Figueiredo D.,PTS,22:00,28 Oct 2017,flyweight-ufc-men
Johnson D.,Borg R.,1.08,7.59,Johnson D.,SUBM,02:00,08 Oct 2017,flyweight-ufc-men
Moraga J.,Bibulatov M.,5.2,1.16,Moraga J.,KO,22:30,07 Oct 2017,flyweight-ufc-men
Formiga J.,Sasaki Y.,1.24,4.12,Formiga J.,SUBM,00:00,23 Sep 2017,flyweight-ufc-men
Johnson D.,Borg R.,,,canc.,canc.,02:00,10 Sep 2017,flyweight-ufc-men
Pettis S.,Moreno B.,2.42,1.57,Pettis S.,PTS,02:00,06 Aug 2017,flyweight-ufc-men
Morales J.,Sanchez R.,1.99,1.82,Morales J.,SUBM,23:00,05 Aug 2017,flyweight-ufc-men
Pantoja A.,Seery N.,1.28,3.68,Pantoja A.,SUBM,17:00,16 Jul 2017,flyweight-ufc-men
Inoue N.,de Tomas C. J.,1.35,3.31,Inoue N.,PTS,08:45,17 Jun 2017,flyweight-ufc-men
Elliott T.,Nguyen B.,1.51,2.66,Nguyen B.,SUBM,02:00,11 Jun 2017,flyweight-ufc-men
Beltran M.,Figueiredo D.,2.23,1.69,Figueiredo D.,TKO,22:30,03 Jun 2017,flyweight-ufc-men
Ortiz D.,Moreno B.,1.81,2.02,Moreno B.,SUBM,00:00,23 Apr 2017,flyweight-ufc-men
Sandoval H.,Schnell M.,2.24,1.67,Sandoval H.,KO,22:30,22 Apr 2017,flyweight-ufc-men
Johnson D.,Reis W.,1.11,6.8,Johnson D.,SUBM,00:00,16 Apr 2017,flyweight-ufc-men
Smolka L.,Elliott T.,2.6,1.5,Elliott T.,PTS,22:00,15 Apr 2017,flyweight-ufc-men
Lausa J.,Bibulatov M.,5.29,1.17,Bibulatov M.,PTS,22:15,08 Apr 2017,flyweight-ufc-men
Formiga J.,Borg R.,2.06,1.79,Borg R.,PTS,03:00,12 Mar 2017,flyweight-ufc-men
McCall I.,Brooks J.,2.0,1.72,canc.,canc.,01:00,12 Feb 2017,flyweight-ufc-men
Pantoja A.,Shelton E.,2.0,1.79,Pantoja A.,PTS,21:00,28 Jan 2017,flyweight-ufc-men
Moraga J.,Pettis S.,2.21,1.67,Pettis S.,PTS,03:00,16 Jan 2017,flyweight-ufc-men
Reis W.,Nguyen B.,2.19,1.68,Reis W.,PTS,02:00,02 Dec 2018,flyweight-ufc-men
Benavidez J.,Perez A.,2.07,1.75,Benavidez J.,TKO,02:00,01 Dec 2018,flyweight-ufc-men
Pantoja A.,Sasaki Y.,1.3,3.61,Pantoja A.,SUBM,02:00,18 Nov 2018,flyweight-ufc-men
Morales J.,Shelton E.,2.22,1.67,Shelton E.,PTS,00:30,11 Nov 2018,flyweight-ufc-men
Pettis S.,Formiga J.,1.52,2.58,Formiga J.,PTS,01:30,07 Oct 2018,flyweight-ufc-men
Sanchez R.,Brooks J.,3.31,1.35,Brooks J.,PTS,22:30,08 Sep 2018,flyweight-ufc-men
Moraga J.,Figueiredo D.,2.42,1.6,Figueiredo D.,TKO,02:30,26 Aug 2018,flyweight-ufc-men
Johnson D.,Cejudo H.,1.21,4.7,Cejudo H.,PTS,03:30,05 Aug 2018,flyweight-ufc-men
Perez A.,Torres J.,1.67,2.24,Perez A.,KO,23:30,04 Aug 2018,flyweight-ufc-men
Ortiz D.,Nicolau M.,2.59,1.53,Ortiz D.,KO,21:00,28 Jul 2018,flyweight-ufc-men
Scoggins J.,Nurmagomedov S.,2.01,1.82,Nurmagomedov S.,PTS,00:30,15 Jul 2018,flyweight-ufc-men
De La Rosa M.,Garcia E.,2.21,1.69,De La Rosa M.,SUBM,23:00,14 Jul 2018,flyweight-ufc-men
Schnell M.,Inoue N.,2.6,1.52,Schnell M.,PTS,08:00,23 Jun 2018,flyweight-ufc-men
Benavidez J.,Pettis S.,1.49,2.7,Pettis S.,PTS,22:45,09 Jun 2018,flyweight-ufc-men
Brooks J.,Torres J.,2.29,1.65,Torres J.,KO,22:30,01 Jun 2018,flyweight-ufc-men
Moreno B.,Pantoja A.,1.96,1.87,Pantoja A.,PTS,00:30,20 May 2018,flyweight-ufc-men
Bibulatov M.,Sasaki Y.,,,canc.,canc.,00:30,22 Apr 2018,flyweight-ufc-men
Reis W.,Moraga J.,,,PTS,PTS,01:00,15 Apr 2018,flyweight-ufc-men
Shelton E.,Perez A.,,,PTS,PTS,00:15,25 Feb 2018,flyweight-ufc-men
Sanchez R.,Sanchez J.,2.24,1.66,Sanchez R.,SUBM,00:00,19 Feb 2018,flyweight-ufc-men
Formiga J.,Nguyen B.,1.83,1.96,Formiga J.,SUBM,00:00,11 Feb 2018,flyweight-ufc-men
Figueiredo D.,Morales J.,1.63,2.27,Figueiredo D.,KO,23:30,03 Feb 2018,flyweight-ufc-men
Ortiz D.,Pantoja A.,2.0,1.8,Ortiz D.,PTS,00:30,21 Jan 2018,flyweight-ufc-men
Pantoja A.,Schnell M.,1.4,2.94,Pantoja A.,KO,08:00,21 Dec 2019,flyweight-ufc-men
Pettis S.,Kara-France K.,,,canc.,canc.,03:00,15 Dec 2019,flyweight-ufc-men
Moreno B.,Kara-France K.,2.33,1.6,Moreno B.,PTS,00:00,15 Dec 2019,flyweight-ufc-men
Figueiredo D.,Elliott T.,1.53,2.6,Figueiredo D.,SUBM,23:00,12 Oct 2019,flyweight-ufc-men
Moreno B.,Askarov A.,2.38,1.59,Draw,Draw,01:00,22 Sep 2019,flyweight-ufc-men
Pettis S.,Nam T.,1.3,3.48,Pettis S.,PTS,22:00,21 Sep 2019,flyweight-ufc-men
Kara-France K.,De La Rosa M.,1.49,2.69,Kara-France K.,PTS,11:00,31 Aug 2019,flyweight-ufc-men
Bontorin R.,Paiva R.,1.92,1.88,Bontorin R.,TKO,22:30,10 Aug 2019,flyweight-ufc-men
Espinosa J.,Schnell M.,1.7,2.15,Schnell M.,SUBM,17:30,03 Aug 2019,flyweight-ufc-men
Pantoja A.,Figueiredo D.,1.79,2.05,Figueiredo D.,PTS,00:00,28 Jul 2019,flyweight-ufc-men
Formiga J.,Benavidez J.,2.16,1.71,Benavidez J.,TKO,03:00,30 Jun 2019,flyweight-ufc-men
Reis W.,Pantoja A.,2.35,1.62,Pantoja A.,TKO,01:00,14 Apr 2019,flyweight-ufc-men
Formiga J.,Figueiredo D.,2.33,1.61,Formiga J.,PTS,01:00,24 Mar 2019,flyweight-ufc-men
Shelton E.,Espinosa J.,1.68,2.19,Espinosa J.,PTS,21:00,23 Mar 2019,flyweight-ufc-men
Kara-France K.,Paiva R.,1.4,3.01,Kara-France K.,PTS,01:30,10 Feb 2019,flyweight-ufc-men
Bontorin R.,Bibulatov M.,3.72,1.28,Bontorin R.,PTS,22:00,02 Feb 2019,flyweight-ufc-men
Cejudo H.,Dillashaw TJ,2.92,1.42,Cejudo H.,TKO,05:30,20 Jan 2019,flyweight-ufc-men
Schnell M.,Nam T.,1.9,1.8,canc.,canc.,23:30,12 Sep 2020,flyweight-ufc-men
Kape M.,Bontorin R.,,,canc.,canc.,23:00,15 Aug 2020,flyweight-ufc-men
Figueiredo D.,Benavidez J.,1.41,2.87,Figueiredo D.,SUBM,02:00,19 Jul 2020,flyweight-ufc-men
Doskalchuk A.,Ulanbekov T.,,,canc.,canc.,21:50,18 Jul 2020,flyweight-ufc-men
Gordon M.,Albazi A.,2.22,1.67,Albazi A.,SUBM,21:30,18 Jul 2020,flyweight-ufc-men
Elliott T.,Benoit R.,1.66,2.26,Elliott T.,PTS,03:30,16 Jul 2020,flyweight-ufc-men
Zhumagalov Z.,Paiva R.,2.29,1.63,Paiva R.,PTS,23:00,11 Jul 2020,flyweight-ufc-men
Espinosa J.,De La Rosa M.,1.59,2.39,Espinosa J.,PTS,01:00,14 Jun 2020,flyweight-ufc-men
Nam T.,Adashev Z.,1.71,2.17,Nam T.,KO,23:15,13 Jun 2020,flyweight-ufc-men
Zhumagalov Z.,Espinosa J.,,,canc.,canc.,15:00,13 Jun 2020,flyweight-ufc-men
Formiga J.,Perez A.,2.11,1.74,Perez A.,TKO,23:00,06 Jun 2020,flyweight-ufc-men
Elliott T.,Royval B.,1.62,2.33,Royval B.,SUBM,23:00,30 May 2020,flyweight-ufc-men
Kara-France K.,Perez A.,,,canc.,canc.,21:00,16 May 2020,flyweight-ufc-men
Formiga J.,Moreno B.,1.55,2.48,Moreno B.,PTS,21:45,14 Mar 2020,flyweight-ufc-men
Benavidez J.,Figueiredo D.,1.64,2.27,Figueiredo D.,TKO,03:00,01 Mar 2020,flyweight-ufc-men
Kara-France K.,Nam T.,1.37,3.08,Kara-France K.,PTS,22:00,22 Feb 2020,flyweight-ufc-men
Borg R.,Bontorin R.,1.67,2.22,Borg R.,PTS,01:30,16 Feb 2020,flyweight-ufc-men
De La Rosa M.,Paiva R.,3.09,1.38,Paiva R.,KO,22:00,15 Feb 2020,flyweight-ufc-men
Espinosa J.,Perez A.,3.03,1.38,Perez A.,SUBM,02:00,26 Jan 2020,flyweight-ufc-men
Elliott T.,Askarov A.,2.24,1.65,Askarov A.,PTS,01:30,19 Jan 2020,flyweight-ufc-men
Dos Santos J.,Overeem A.,1.39,3.01,Overeem A.,TKO,01:00,20 Dec 2015,heavyweight-ufc-men
Henrique L.,Ngannou F.,2.12,1.73,Ngannou F.,KO,20:30,19 Dec 2015,heavyweight-ufc-men
Gonzaga G.,Erokhin K.,2.04,1.8,Gonzaga G.,PTS,22:00,11 Dec 2015,heavyweight-ufc-men
Hunt M.,Silva A.,1.36,3.12,Hunt M.,TKO,03:00,15 Nov 2015,heavyweight-ufc-men
Jordan S.,Magomedov R.,2.56,1.5,Magomedov R.,PTS,23:00,03 Oct 2015,heavyweight-ufc-men
Barnett J.,Nelson R.,1.31,3.37,Barnett J.,PTS,02:00,27 Sep 2015,heavyweight-ufc-men
Arlovski A.,Mir F.,1.59,2.33,Arlovski A.,PTS,02:00,06 Sep 2015,heavyweight-ufc-men
Rosholt J.,Johnson T.,1.35,3.21,Rosholt J.,PTS,02:00,09 Aug 2015,heavyweight-ufc-men
Silva A.,Palelei S.,2.62,1.48,Silva A.,TKO,02:00,02 Aug 2015,heavyweight-ufc-men
Lewis D.,Abdurahimov S.,1.43,2.85,Lewis D.,TKO,02:00,10 Dec 2016,heavyweight-ufc-men
Henrique L.,Colombo C.,1.36,2.9,Henrique L.,SUBM,02:00,20 Nov 2016,heavyweight-ufc-men
Johnson T.,Volkov A.,1.71,2.16,Volkov A.,PTS,21:00,19 Nov 2016,heavyweight-ufc-men
Struve S.,Omielanczuk D.,1.53,2.54,Struve S.,SUBM,02:00,09 Oct 2016,heavyweight-ufc-men
Abdurahimov S.,Harris W.,1.68,2.13,Abdurahimov S.,PTS,01:00,02 Oct 2016,heavyweight-ufc-men
East C.,Blaydes C.,2.91,1.42,Blaydes C.,TKO,23:15,01 Oct 2016,heavyweight-ufc-men
Nelson R.,Silva A.,1.23,4.21,Nelson R.,KO,02:00,25 Sep 2016,heavyweight-ufc-men
Miocic S.,Overeem A.,1.84,2.0,Miocic S.,KO,02:00,11 Sep 2016,heavyweight-ufc-men
Arlovski A.,Barnett J.,2.2,1.67,Barnett J.,SUBM,19:00,03 Sep 2016,heavyweight-ufc-men
Pesta V.,Tybura M.,2.0,1.82,Tybura M.,KO,00:00,07 Aug 2016,heavyweight-ufc-men
Sherman C.,Ledet J.,2.03,1.79,Ledet J.,PTS,23:00,06 Aug 2016,heavyweight-ufc-men
Hamilton A.,Grabowski D.,1.81,2.02,Hamilton A.,KO,00:00,31 Jul 2016,heavyweight-ufc-men
Ngannou F.,Mihajlovic B.,1.16,5.39,Ngannou F.,TKO,00:00,24 Jul 2016,heavyweight-ufc-men
Henrique L.,Smoliakov D.,2.15,1.7,Henrique L.,SUBM,20:00,23 Jul 2016,heavyweight-ufc-men
Oleynik A.,Omielanczuk D.,1.46,2.72,Omielanczuk D.,PTS,01:00,14 Jul 2016,heavyweight-ufc-men
Lesnar B.,Hunt M.,2.28,1.64,Lesnar B.,PTS,02:00,10 Jul 2016,heavyweight-ufc-men
Nelson R.,Lewis D.,1.8,2.04,Lewis D.,PTS,02:00,08 Jul 2016,heavyweight-ufc-men
De La Rocha Ch.,Milstead A.,3.2,1.35,Milstead A.,TKO,22:00,29 May 2016,heavyweight-ufc-men
Werdum F.,Miocic S.,1.57,2.47,Miocic S.,KO,04:00,15 May 2016,heavyweight-ufc-men
Overeem A.,Arlovski A.,1.42,2.85,Overeem A.,TKO,18:00,08 May 2016,heavyweight-ufc-men
Harris W.,East C.,2.35,1.58,Harris W.,TKO,22:30,23 Apr 2016,heavyweight-ufc-men
Johnson T.,Tybura M.,2.19,1.68,Johnson T.,PTS,18:00,10 Apr 2016,heavyweight-ufc-men
Ngannou F.,Blaydes C.,2.15,1.7,Ngannou F.,TKO,18:00,10 Apr 2016,heavyweight-ufc-men
Cannonier J.,Asker C.,1.6,2.31,Cannonier J.,KO,14:30,10 Apr 2016,heavyweight-ufc-men
Hunt M.,Mir F.,1.78,2.02,Hunt M.,KO,02:00,20 Mar 2016,heavyweight-ufc-men
Omielanczuk D.,Danho J.,1.81,1.98,Omielanczuk D.,PTS,17:45,27 Feb 2016,heavyweight-ufc-men
Hamilton A.,Abdurahimov S.,,,PTS,PTS,02:00,22 Feb 2016,heavyweight-ufc-men
Nelson R.,Rosholt J.,1.71,2.19,Nelson R.,PTS,03:00,07 Feb 2016,heavyweight-ufc-men
Barnett J.,Rothwell B.,1.73,2.09,Rothwell B.,SUBM,01:00,31 Jan 2016,heavyweight-ufc-men
Browne T.,Mitrione M.,1.57,2.42,Browne T.,KO,03:00,18 Jan 2016,heavyweight-ufc-men
Miocic S.,Arlovski A.,1.47,2.71,Miocic S.,TKO,03:00,03 Jan 2016,heavyweight-ufc-men
Overeem A.,Ngannou F.,2.78,1.43,Ngannou F.,KO,03:00,03 Dec 2017,heavyweight-ufc-men
Asker C.,Hu Y.,1.39,3.02,Asker C.,SUBM,08:45,25 Nov 2017,heavyweight-ufc-men
Werdum F.,Tybura M.,1.28,3.63,Werdum F.,PTS,03:00,19 Nov 2017,heavyweight-ufc-men
Hamilton A.,Wieczorek A.,2.4,1.57,Wieczorek A.,PTS,23:30,18 Nov 2017,heavyweight-ufc-men
Albini J.,Arlovski A.,1.3,3.47,Arlovski A.,PTS,03:00,12 Nov 2017,heavyweight-ufc-men
Harris W.,Godbeer M.,1.26,3.82,Godbeer M.,TKO,00:00,05 Nov 2017,heavyweight-ufc-men
Golm M.,Colombo C.,1.42,2.88,Golm M.,SUBM,22:00,28 Oct 2017,heavyweight-ufc-men
Werdum F.,Harris W.,1.39,3.07,Werdum F.,SUBM,02:00,08 Oct 2017,heavyweight-ufc-men
Harris W.,Godbeer M.,1.28,3.64,canc.,canc.,22:30,07 Oct 2017,heavyweight-ufc-men
Ledet J.,Anyanwu A.,1.24,4.13,Ledet J.,PTS,02:00,17 Sep 2017,heavyweight-ufc-men
Henrique L.,Bhullar A.,2.67,1.48,Bhullar A.,PTS,22:30,09 Sep 2017,heavyweight-ufc-men
Volkov A.,Struve S.,1.78,2.01,Volkov A.,TKO,19:00,02 Sep 2017,heavyweight-ufc-men
Grabowski D.,Sherman C.,3.0,1.4,Sherman C.,PTS,22:00,22 Jul 2017,heavyweight-ufc-men
Mulheron J.,Willis J.,2.52,1.53,Willis J.,PTS,19:00,16 Jul 2017,heavyweight-ufc-men
Omielanczuk D.,Blaydes C.,5.97,1.14,Blaydes C.,PTS,02:00,09 Jul 2017,heavyweight-ufc-men
Browne T.,Oleynik A.,1.37,3.1,Oleynik A.,SUBM,00:00,09 Jul 2017,heavyweight-ufc-men
Johnson J.,Fortuna M.,1.47,2.72,Johnson J.,PTS,01:00,08 Jul 2017,heavyweight-ufc-men
Arlovski A.,Tybura M.,2.86,1.44,Tybura M.,PTS,13:20,17 Jun 2017,heavyweight-ufc-men
Lewis D.,Hunt M.,1.59,2.4,Hunt M.,TKO,02:00,11 Jun 2017,heavyweight-ufc-men
Miocic S.,Dos Santos J.,1.69,2.2,Miocic S.,TKO,02:00,14 May 2017,heavyweight-ufc-men
Sherman C.,Coulter R.,1.89,1.92,Sherman C.,KO,22:15,13 May 2017,heavyweight-ufc-men
Volkov A.,Nelson R.,1.61,2.33,Volkov A.,PTS,22:00,15 Apr 2017,heavyweight-ufc-men
Omielanczuk D.,Johnson T.,2.67,1.48,Johnson T.,PTS,19:45,18 Mar 2017,heavyweight-ufc-men
Overeem A.,Hunt M.,1.68,2.23,Overeem A.,KO,03:00,05 Mar 2017,heavyweight-ufc-men
Tybura M.,Henrique L.,1.6,2.36,Tybura M.,TKO,01:00,05 Mar 2017,heavyweight-ufc-men
Lewis D.,Browne T.,1.88,1.94,Lewis D.,KO,02:00,20 Feb 2017,heavyweight-ufc-men
Tybura M.,Willis J.,,,canc.,canc.,23:30,11 Feb 2017,heavyweight-ufc-men
Hamilton A.,Fortuna M.,1.45,2.77,Fortuna M.,KO,03:00,05 Feb 2017,heavyweight-ufc-men
Arlovski A.,Ngannou F.,3.91,1.25,Ngannou F.,TKO,01:00,29 Jan 2017,heavyweight-ufc-men
Oleynik A.,Pesta V.,1.67,2.19,Oleynik A.,SUBM,01:00,16 Jan 2017,heavyweight-ufc-men
Harris W.,Sherman C.,1.69,2.16,Harris W.,KO,23:15,15 Jan 2017,heavyweight-ufc-men
Arlovski A.,Harris W.,2.61,1.5,Harris W.,PTS,02:30,30 Dec 2018,heavyweight-ufc-men
De La Rocha Ch.,Adams J.,4.25,1.22,Adams J.,TKO,20:30,15 Dec 2018,heavyweight-ufc-men
Dos Santos J.,Tuivasa T.,1.63,2.31,Dos Santos J.,TKO,05:30,02 Dec 2018,heavyweight-ufc-men
Frazier J.,Espino J.,2.4,1.57,Espino J.,SUBM,05:00,01 Dec 2018,heavyweight-ufc-men
Blaydes C.,Ngannou F.,1.44,2.85,Ngannou F.,TKO,13:00,24 Nov 2018,heavyweight-ufc-men
Cormier D.,Lewis D.,1.23,4.34,Cormier D.,SUBM,04:00,04 Nov 2018,heavyweight-ufc-men
Wieczorek A.,Rogerio de Lima M.,1.57,2.51,Rogerio de Lima M.,PTS,23:00,03 Nov 2018,heavyweight-ufc-men
Bhullar A.,Golm M.,1.63,2.32,Bhullar A.,PTS,22:00,27 Oct 2018,heavyweight-ufc-men
Lewis D.,Volkov A.,2.43,1.58,Lewis D.,KO,02:30,07 Oct 2018,heavyweight-ufc-men
Sakai A.,Sherman C.,1.46,2.8,Sakai A.,TKO,00:30,23 Sep 2018,heavyweight-ufc-men
Hunt M.,Oleynik A.,1.77,2.05,Oleynik A.,SUBM,19:30,15 Sep 2018,heavyweight-ufc-men
Tybura M.,Struve S.,1.46,2.77,Tybura M.,PTS,19:05,22 Jul 2018,heavyweight-ufc-men
Dos Santos J.,Ivanov B.,1.54,2.58,Dos Santos J.,PTS,04:30,15 Jul 2018,heavyweight-ufc-men
Miocic S.,Cormier D.,1.49,2.71,Cormier D.,KO,04:00,08 Jul 2018,heavyweight-ufc-men
Arlovski A.,Tuivasa T.,2.81,1.46,Tuivasa T.,PTS,02:00,10 Jun 2018,heavyweight-ufc-men
Coulter R.,De La Rocha Ch.,1.78,2.06,De La Rocha Ch.,TKO,23:30,09 Jun 2018,heavyweight-ufc-men
Harris W.,Spitz D.,1.43,2.87,Harris W.,TKO,03:30,02 Jun 2018,heavyweight-ufc-men
Oleynik A.,Albini J.,2.29,1.64,Oleynik A.,SUBM,01:30,13 May 2018,heavyweight-ufc-men
Willis J.,Sherman C.,1.31,3.54,Willis J.,PTS,02:00,22 Apr 2018,heavyweight-ufc-men
Bhullar A.,Wieczorek A.,,,SUBM,SUBM,23:30,14 Apr 2018,heavyweight-ufc-men
Werdum F.,Volkov A.,1.48,2.7,Volkov A.,KO,22:00,17 Mar 2018,heavyweight-ufc-men
Struve S.,Arlovski A.,1.53,2.53,Arlovski A.,PTS,03:30,04 Mar 2018,heavyweight-ufc-men
Lewis D.,Tybura M.,2.0,1.81,Lewis D.,TKO,03:00,19 Feb 2018,heavyweight-ufc-men
Hunt M.,Blaydes C.,2.44,1.58,Blaydes C.,PTS,04:00,11 Feb 2018,heavyweight-ufc-men
